# combined_it.txt — Italian translations for Pokémon Unbound (EN→IT)
#
# Same format as combined_fr.txt:  <offset_hex>: <text_IT>
#   \n  -> line break        \l -> <0xFA> (scroll)      \p -> <0xFB> (clear)
# Lines starting with '#' and blank lines are ignored.
# Offsets absent from this file keep their English text.
# Last entry wins for a duplicated offset (case-insensitive).
#
# Updated from d82a9dba-d0fc-4a43-b39a-6d0e0290e64e-Italian Translations (3).json
#
0x1660052: Ognuno di loro porta una maschera\nche era il suo volto quando era\lumano.
0x1663ae6: Si rilassa in luoghi stretti e bui\ned è noto che usi la tasca o la\lborsa del suo Allenatore come nido.
0x1664647: Adora la luce del sole. Quando\nprende regolarmente il sole, cresce\lcon una colorazione vivace.
0x1664709: Sparge spore che tremolano e\nbrillano. Chiunque veda queste luci\lcade in un sonno profondo.
0x166a997: Bulbasaur
0x1f06137: Scegli un numero da 1 a <0xFD><0x03>.
0x1f06153: Ho detto una delle <0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x04>\npossibilità! Quel numero è troppo\lgrande.
0x1f0618a: <0xFD><0x02> si evolverà se\. <0xFD><0x0C>
0x1f06885: Benvenuto alla Casa delle Lotte\nInverse! Sentiti libero di sfidare\ltutti gli Allenatori qui tutte le\n\nvolte che vuoi. Se ti serve una\nspiegazione delle <0xFC><0x01><0x06>Lotte Inverse<0xFC><0x01><0x08>,\lvieni pure a parlarmi. Buon\n\ndivertimento con le lotte!
0x1f0694f: Una <0xFC><0x01><0x06>Lotta Inversa<0xFC><0x01><0x08> funziona in modo\nsimile a una lotta normale, con la\ldifferenza principale nel modo in\n\ncui vengono gestite debolezze e\nresistenze. In una Lotta Inversa,\ldebolezze e resistenze si scambiano\n\ndi posto. Quindi un tipo Acqua\ndiventa debole al Fuoco ma resiste\lal tipo Erba.
0x1f06b10: Nessun sopravvissuto
0x1f06b65: Benvenuto al Quartier Generale\ndelle Missioni! È la tua prima\lvolta qui, vero? Allora dimmi,\n\nconosci le <0xFC><0x01><0x06>Missioni<0xFC><0x01><0x08>?
0x1f06bd9: Certo che sì! Chi non la pensa\ncosì? Quindi vieni a trovarmi\lquando avrai completato almeno <0xFC><0x01><0x06>5<0xFC><0x01><0x08>\n\nMissioni.
0x1f06c38: Vedo\. Ebbene, allora in tal caso,\npermettimi di fornirti una\lspiegazione formale.
0x1f06c7f: Una Missione è un obiettivo extra\nche ricevi accettando una richiesta\ldi aiuto. Molte persone sono\n\nincapaci di risolvere i propri\nproblemi e hanno bisogno\ldell'assistenza di altri. Una volta\n\naccettata la Missione, i dettagli\nvengono automaticamente registrati\lnel Registro Missioni. Le Missioni\n\npossono spesso fruttare grandi\nricompense, come oggetti, denaro o\laddirittura nuove aree da\n\nesplorare. Se qualcuno ti richiede\nuna Missione, accettala\limmediatamente. Anche se non hai\n\nintenzione di completarla subito,\nnon c'è alcun danno nell'averla\lregistrata nel tuo Registro\n\nMissioni. Detto questo, ci sono\ndiverse persone qui che hanno\lbisogno di assistenza. Guardati\n\nintorno e vedi se c'è qualcuno che\nvorresti aiutare! E vieni a\ltrovarmi quando avrai completato\n\nalmeno <0xFC><0x01><0x06>5<0xFC><0x01><0x08> Missioni.
0x1f06f5c: Finora hai completato <0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x08>\nMissioni. Vieni a trovarmi quando\lne avrai completate almeno <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08>\n\nMissioni.
0x1f06fc6: Sembra che tu abbia completato\nalmeno <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08> Missioni! Per\lquesto, ricevi\. <0xFD><0x03>!
0x1f07015: Inoltre, <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08> ha iniziato a\nvagare per Borrius! Puoi\lcontrollarne la posizione attuale\n\nusando la tua <0xFC><0x01><0x06>Mappa Cittadina<0xFC><0x01><0x08>.
0x1f07090: Ti ho dato tutto quello che potevo\ndarti! Hai superato le mie\laspettative! Qualsiasi Missione\n\ncompleti da ora in poi conterà solo\ncome bonus.
0x1f07111: Non hai più spazio nella tua\nsquadra per questo Pokémon!
0x1f0714f: E ora che hai messo i piedi\nnell'acqua, lascia che ti dia una\lMissione! Usa il <0xFC><0x01><0x06>Catalogo\n\nAllenatori<0xFC><0x01><0x08> e sconfiggi ogni\nAllenatore elencato lì dentro.\lTutti quegli Allenatori hanno\n\nvoglia di lottare, quindi renderai\nloro un grande servizio battendoli\ltutti!
0x1f07244: A quanto pare non hai lasciato\nsopravvissuti tra gli Allenatori di\lBorrius! Per questo, ti meriti\.\n\n<0xFD><0x02>!
0x1f0729e: Ho la sensazione che se porti un\ncerto Pokémon insieme a <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08> in\lun luogo dove <0xFC><0x01><0x06>solo i più forti\n\npossono andare<0xFC><0x01><0x08>, potresti essere\navvicinato da qualcosa di potente\.
0x1f073ab: Alla buona
0x1f07524: Amo tutto ciò che ha le ali. Se mi\nmostri delle belle ali nel corso di\l4 giorni diversi, condividerò con\n\nte delle mie belle ali. Te la cavi?
0x1f075cb: Ali-meraviglioso! Per oggi, vorrei\nvedere le belle ali di un <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08>.
0x1f07615: Quelle ali.
0x1f07621: Vediamo quelle splendide <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08>\nali! *Frisk* *Frisk*
0x1f0765b: Che ali davvero magnifiche\.
0x1f0767d: Cosa\.? Non riesco a vedere da\nnessuna parte quelle bellissime ali\l<0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08>\.
0x1f076b9: Domani vorrei vedere delle belle\n<0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08> ali. Però non portarle\loggi. Oggi di ali ne ho abbastanza.
0x1f0771d: Domani vorrei vedere delle belle\n<0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x08> ali. Però non portarle\loggi. Oggi di ali ne ho abbastanza.
0x1f07781: Meraviglioso! Ho visto tutte quelle\nsplendide ali che non avevo mai\lvisto prima! Come promesso, vorrei\n\ncondividere le mie ali con te!
0x1f077fa: Dopo aver visto tutte quelle ali\nbellissime, per tutta la vita ne\lavrò abbastanza di ali!
0x1f0784d: Addio, Butterfree
0x1f078cb: No\. Per il mio compito mi serve un\nAllenatore esperto che abbia\ldimostrato il proprio valore\n\nsconfiggendo i Superquattro.
0x1f07929: Ah, se non è il Campione della\nregione di Borrius! Ho proprio la\lrichiesta giusta per qualcuno del\n\ntuo livello di abilità. Vuoi\nsentirla?
0x1f079b1: Il compito è semplice: allena un\n<0xFC><0x01><0x06>Butterfree<0xFC><0x01><0x08> fino al Livello <0xFC><0x01><0x06>70<0xFC><0x01><0x08> e\lpresentamelo. Può essere sopra il\n\nLivello 70, ma deve essere almeno a\nquel livello. Una volta fatto, ti\linformerò della parte successiva\n\ndel compito.
0x1f07a82: Allenatori come te non si\nincontrano tutti i giorni.
0x1f07ab1: Mi hai portato un Butterfree di\nlivello <0xFC><0x01><0x06>70<0xFC><0x01><0x08>?
0x1f07ae2: Bene, è proprio la Butterfree che\ncercavo. Ora, <0xFC><0x01><0x07>rilasciala<0xFC><0x01><0x08> nella\lnatura, così potrà trovare l'amore.
0x1f07b4f: <0xFC><0x01><0x02><0xFD><0x02> è stato liberato. Ciao\nciao, <0xFD><0x02>!
0x1f07b70: Sniff\. Non è bellissimo? Quel\nButterfree ora troverà l'amore e\lsarà felice per sempre\.
0x1f07bc4: Per le tue azioni eroiche, voglio\nche tu prenda il mio Butterfree al\lposto di quello che hai liberato.
0x1f07c20: Quel Butterfree che ti ho dato è in\ngrado di <0xFC><0x01><0x06>Gigantamaxing<0xFC><0x01><0x08>! Che cos'è?\lBeh, usalo in una <0xFC><0x01><0x06>Lotta Raid nella\n\nGrotta Nascosta<0xFC><0x01><0x08> e vedrai!
0x1f07cad: Voglio vedere un <0xFC><0x01><0x06>Butterfree<0xFC><0x01><0x08> che sia\nstato allenato almeno fino al\llivello <0xFC><0x01><0x06>70<0xFC><0x01><0x08>.
0x1f07d00: Non è il Pokémon che sto cercando.\nVoglio vedere un <0xFC><0x01><0x06>Butterfree<0xFC><0x01><0x08> che sia\lstato allenato almeno al Livello\n\n<0xFC><0x01><0x06>70<0xFC><0x01><0x08>.
0x1f07d7b: Quel Butterfree è effettivamente di\nlivello 70 o superiore, ma non\ll'hai allenato tu! Voglio vedere un\n\n<0xFC><0x01><0x06>Butterfree<0xFC><0x01><0x08> allenato almeno fino al\nlivello <0xFC><0x01><0x06>70<0xFC><0x01><0x08>.
0x1f07e1e: Ma\. Se non lo liberi, come farà mai\nil tuo Butterfree a trovare\ll'amore?
0x1f07e65: La rivoluzione comunista
0x1f07ec2: Vieni qui, ragazzino, piano piano.\nTutta la nostra regione è\lsegretamente controllata dalla\n\nborghesia e dai capitalisti. Noi\ndella classe lavoratrice dobbiamo\lstringerci insieme e insorgere\n\ncontro di loro in nome del\ncomunismo! La loro debolezza sono i\lservizi gratuiti. Se ti curi\n\nabbastanza volte in un Centro\nPokémon, la loro macchina di\loppressione crollerà.
0x1f08005: Operai di tutto il mondo, unitevi!\nTutto ciò che dovete fare è curare\l<0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x04> volte in qualsiasi Centro\n\nPokémon. A parte quello di Antisis\nCity, sono tutti coinvolti nella\lrivoluzione.
0x1f080a8: Un altro proletario plagiato dalla\nmacchina capitalista della\ltirannia.
0x1f080ee: Finora hai usato il nostro servizio\ngratuito <0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x04> volte<0xFD><0x07>. Per\lrovesciare i tiranni capitalisti,\n\ndovrai curarti ancora <0xFC><0x01><0x06><0xFD><0x04><0xFC><0x01><0x04>\nvolte<0xFD><0x08>.
0x1f08182: Ottimo lavoro! Ora che gli\ningranaggi della macchina\lcapitalista sono rotti, i\n\nlavoratori del nostro mondo si\nuniranno in rivoluzione contro la\lborghesia! Ecco un segno del nostro\n\napprezzamento, compagno <0xFD><0x01>.
0x1f08242: La rivoluzione comunista ti sarà\nsempre grata, compagno <0xFD><0x01>.
0x1f08287: La rivoluzione capitalista
0x1f082e2: Ssst, zitto. Lo sapevi che la\nregione di Borrius è segretamente\lgovernata da un consorzio\n\ncomunista, che fa cose comuniste?\nPossiamo combattere il potere\lcomprando abbastanza merce non\n\nregistrata dai Poké Market. Tutti i\nPoké Market ne fanno parte. Te la\lsenti di fare una rivoluzione\n\ncapitalista?
0x1f083f2: Lunga vita alla rivoluzione! Se fai\nacquisti <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x04> ai Poké Mart, il\lsistema comunista crollerà e la\n\nnostra rivoluzione capitalista\npotrà cominciare.
0x1f08489: Sei solo un altro pedone dei porci\ncomunisti.
0x1f084bc: Dalle nostre registrazioni risulta\nche finora hai effettuato <0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x04>\lacquisto\\<0xFD><0x07>. Ci serve un altro\n\n<0xFC><0x01><0x06><0xFD><0x04><0xFC><0x01><0x04> prima che possa cominciare\nla nostra rivoluzione capitalista.
0x1f08541: I nostri registri mostrano che hai\neffettuato abbastanza acquisti. Ora\lpossiamo iniziare la nostra\n\nrivoluzione capitalista. Tieni,\nprendi questi. Ti serviranno nella\lnostra lotta contro i maiali\n\ncomunisti.
0x1f085f2: La grande guerra tra i capitalisti\ne i comunisti inizierà da un\lmomento all'altro.
0x1f08646: Controllo della popolazione
0x1f08691: I Pokémon sono evolutivamente\nsuperiori alle persone. Ma come\lconseguenza di ciò, hanno iniziato\n\na sovrappopolarsi. Dobbiamo ridurre\nla loro popolazione selvatica prima\lche si rendano conto di avere il\n\nvantaggio su di noi. Riesci a\ncatturare <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08> Pokémon al di\lfuori della Zona Safari in un solo\n\ngiorno per rallentare il loro tasso\ndi crescita?
0x1f087c3: Svelto! Devi fermare i Pokémon\nprima che i loro numeri diventino\ltroppo grandi.
0x1f0880b: Se i Pokémon si moltiplicano e\nprendono il sopravvento sul mondo,\lè colpa tua!
0x1f08849: Hai catturato finora <0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x08>\nPokémon, quindi oggi devi ancora\lcatturare <0xFC><0x01><0x06><0xFD><0x04><0xFC><0x01><0x08> Pokémon.\n\nAltrimenti, nulla impedirà ai\nPokémon selvatici di diventare la\lforma di vita dominante.
0x1f08909: Ottimo lavoro! Dopo la tua\nscorpacciata di catture, hai\lridotto il numero di Pokémon\n\nselvatici in modo significativo!\nNon potranno più spodestare noi\lumani e rimarranno sempre\n\nsottomessi a noi. Ecco una\nricompensa per il tuo aiuto alla\lspecie.
0x1f08a06: <0xFC><0x01><0x02>Tutti i tassi di cattura delle Poké\nBall sono stati aumentati del\l<0xFD><0x02>%!
0x1f08a3f: Non si dovrebbe permettere ai\nPokémon di governare sugli esseri\lumani.
0x1f08a72: L'Uomo dei rifiuti
0x1f08ac4: Sono l'Uomo-immondizia! Vivo\nnell'immondizia! Mangio immondizia!\lNon chiedere, faccio così. Non sto\n\ncercando la spazzatura, sto\ncercando i pezzi di immondizia più\lchic, ma serve impegno. Preferirei\n\npagare te per farlo al posto mio.\nVuoi frugare nei cestini per\ltrovarmi almeno <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x08> oggetti?
0x1f08be6: Vai fuori e trovami la spazzatura\npiù prelibata che ci sia!
0x1f08c1e: Non preoccuparti, aspetterò solo il\nprossimo pollo che voglia essere\lricompensato generosamente.
0x1f08c72: Il mio fiuto per la spazzatura mi\ndice che finora hai trovato\l<0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x08> oggetti<0xFD><0x07> nella spazzatura.\n\nVai a frugare tra rifiuti più\nredditizi e trova almeno <0xFC><0x01><0x06><0xFD><0x04><0xFC><0x01><0x08>\laltri oggetti<0xFD><0x08>!
0x1f08d0a: Hai della bella robaccia lì! Ecco\ndella mia spazzatura, così me la\ltogli di torno.
0x1f08d69: Roba da buttare! Non puoi prendere\nla mia spazzatura se la tua squadra\lè piena.
0x1f08da1: L'Uomo della Spazzatura è\nsoddisfatto della spazzatura che\lhai raccolto per lui.
0x1f08de6: Darwin aveva ragione
0x1f08e36: Credo che Arceus crei tutti i\nPokémon, ma sono anche una donna di\lscienza. Sto cercando di capire se\n\nabbiano ragione la religione o la\nscienza. Credo che l'evoluzione dei\lPokémon contenga la chiave della\n\nrisposta. Ti va di aiutarmi? Mi\nservono <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x04> osservazioni.
0x1f08f28: Ottimo, avrò bisogno che tu osservi\n<0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x04> evoluzioni dei Pokémon e\lriferisca la tua opinione\n\nimparziale.
0x1f08f8a: Immagino che alcune persone\nresteranno sempre ignare dei\lsegreti della scienza e della\n\nreligione.
0x1f08fe2: I tuoi dati non sono ancora\ncompleti. Devi far evolvere altri\l<0xFC><0x01><0x06><0xFD><0x04><0xFC><0x01><0x04> Pokémon per completare il\n\ndataset.
0x1f09045: Wow, hai finito! Ora, vediamo i\ndati. \. Dice che ci sono aspetti sia\lscientifici sia religiosi\n\nnell'evoluzione dei Pokémon. Forse\nArceus è più coinvolto di quanto\lsappiamo\. Interessante, per favore\n\nprendi questo Pokémon come\nringraziamento.
0x1f0912a: Ma prima fai spazio nella tua\nsquadra!
0x1f09154: Il Pokémon che ti ho dato è noto\ncome Mew. Si dice che sia la specie\lda cui si sono evoluti tutti i\n\nPokémon. Lo abbiamo clonato alla\nSocietà Scientifica, quindi la\lversione che hai non è altro che\n\nuna copia.
0x1f0920d: Milionario dei PE
0x1f0921e: L'Exp. è come l'oro. Guadagna\n<0xFD><0x02> in un giorno per diventare\ldavvero ricco.
0x1f0925a: Sono così ricco che la mia piscina\nha una piscina tutta sua! Eppure\.<0xFC><0x08><0x20>\leppure, tutto il denaro del mondo\n\nnon mi rende felice. La vera\nricchezza risiede in una valuta più\lsontuosa - i Punti Esperienza!\n\nAllora, sei disposto a mostrare la\ntua voglia di diventare davvero\lricco?
0x1f0935a: Allora, dimostrami la tua fame di\nvera ricchezza. Per diventare\ldavvero ricco, fai guadagnare ai\n\ntuoi Pokémon un totale di <0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x04>\nPunti Esperienza in un solo giorno.
0x1f093f2: Uhm. Avrei dovuto aspettarmelo da\nun cretino materialista.
0x1f09434: Finora, i tuoi Pokémon hanno\nguadagnato <0xFC><0x01><0x06><0xFD><0x03><0xFC><0x01><0x04> Punti\lEsperienza<0xFD><0x07> oggi. Ma devi ancora\n\nguadagnarne altri <0xFC><0x01><0x06><0xFD><0x04><0xFC><0x01><0x04> Punti\nEsperienza<0xFD><0x08>. Solo allora potrai\lelevarTi oltre lo status di\n\n<0xB1>moderatamente benestante<0xB2>.
0x1f094ea: Incredibile\. Davvero, sei la persona\npiù incredibilmente ricca che abbia\lmai conosciuto. Quella\n\ndeterminazione\.<0xFC><0x08><0x20> quella passione\.<0xFC><0x08><0x20> So\ncosa devo fare! Ecco! Non avrò più\lbisogno dei risparmi di una vita!
0x1f095a6: Ora sono libero dai desideri\nmaterialistici. E finalmente\.<0xFC><0x08><0x20>\lfinalmente sono davvero ricco.\n\nMolto impressionante, Allenatore.\nTuttavia, vedo che il tuo desiderio\ldi vera ricchezza supera il mio\.\n\nAllora, come ricompensa per la tua\ndeterminazione\.<0xFC><0x08><0x18> ah, sì. Prendi\lqueste Uova Fortunate.
0x1f09699: E in aggiunta a quelli, lasciami\nrenderli ancora più fortunati!
0x1f096d7: <0xFC><0x01><0x02>Il livello di Uovo Fortunato è\nstato aumentato a \Lv <0xFD><0x03>! I\lPokémon ora guadagneranno <0xFC><0x01><0x06><0xFD><0x0C><0xFC><0x01><0x02>* la\n\nquantità di Punti Esperienza quando\nlo tengono.
0x1f0974f: Se vuoi, posso potenziare ancora di\npiù le tue Lucky Egg. Ma temo che\lper potenziarle mi serviranno più\n\ndei semplici Punti Esperienza.\nTrova per me <0xFC><0x01><0x06><0xFD><0x04> <0xFD><0x02><0xFC><0x01><0x04> e\lpotenzierò di nuovo le tue Lucky\n\nEgg. I\.<0xFC><0x08><0x18> Ho appena capito che mi\nserve ancora da mangiare,\ldopotutto.
0x1f09838: Salve, sei qui per far potenziare i\ntuoi <0xFC><0x01><0x06>Fortunuovi<0xFC><0x01><0x04>? Mi serviranno\l<0xFC><0x01><0x06><0xFD><0x04> <0xFD><0x02><0xFC><0x01><0x04> per aumentare\n\nulteriormente la loro fortuna fino\na <0xFC><0x01><0x06>\Lv <0xFD><0x03><0xFC><0x01><0x04>.
0x1f098b9: No? Allora potresti lasciarmi un\npo' di spiccioli prima di\landartene?
0x1f098ef: Temo che tu non abbia abbastanza\n<0xFC><0x01><0x06><0xFD><0x02><0xFC><0x01><0x04>. Almeno non abbastanza da\lsfamarmi per la settimana\.
0x1f0994c: Con un bonus Punti Esperienza di\n<0xFC><0x01><0x06><0xFD><0x0C><0xFC><0x01><0x04>*, non posso fare altro per i tuoi\lFortunuovo. Ora come farò a\n\nmantenermi?
0x1f099c2: La <0xFC><0x01><0x06>Casa Allenatore Inversa<0xFC><0x01><0x08> è\nfamosa. Molte persone vengono a\lFallshore City solo per combattere\n\ncon gli abbinamenti di tipo\ninvertiti.
0x1f09a3c: A ogni passo che fai, i tuoi\nPokémon si affezionano sempre di\lpiù a te. Se hai un Pokémon\n\nall'Asilo Pokémon, anche lui\ndiventerà più forte.
0x1f09abc: Ho sentito che un gruppo di persone\nsta combinando guai sul <0xFC><0x01><0x06>Percorso 9<0xFC><0x01><0x08>.
0x1f09aff: Hai sentito? Qualcuno ha pensato ai\nteppisti sul Percorso 9!
0x1f09b40: Faccio un sacco di soldi vendendo\ngli strumenti che trovo sui Pokémon\lselvatici. L'<0xFC><0x01><0x06>Insettocchi<0xFC><0x01><0x08> del mio\n\nVenonat mi aiuta ad attirare quelli\nche hanno strumenti, poi cambio\lPokémon e uso <0xFC><0x01><0x06>Privazione<0xFC><0x01><0x08> per\n\narraffarli!
0x1f09bfc: Se hai la <0xFC><0x01><0x06>Medaglia Autunno<0xFC><0x01><0x04>, puoi\ncomprare <0xFC><0x01><0x06>Ultra Ball<0xFC><0x01><0x04>! Sono molto\lmigliori delle Mega Ball per\n\ncatturare Pokémon.
0x1f09cf0: Benvenuti al Paradiso dei Fiori!\nMentre siete qui, vi preghiamo di\lfare attenzione a rispettare i\n\nfiori e i Pokémon che vi vivono.
0x1f09d6c: Conosci i fiori di Gracidea?\nVengono regalati in bouquet per\lesprimere gratitudine. In effetti,\n\nalcuni fiori di Gracidea sbocciano\npersino in questo stesso paradiso!
0x1f09e0d: Oh, Shaymin! Quando si tratta di\nShaymin, i fiori di Gracidea sono\limportanti! Ho molti fiori di\n\nGracidea, quindi lasciami dartene\nuno.
0x1f09e94: Fin dai tempi antichi, le persone\nhanno creato mazzi di fiori di\lGracidea per esprimere la loro\n\ngratitudine. Non è interessante?\nRegalando un mazzo di Gracidea, non\ldevi dire una parola e qualcuno\n\ncapirà quanto sei grato. Che usanza\ndeliziosa!
0x1f09f94: Le Bacche sono meravigliose, non\ncredi? Sono cibo sia per le persone\lsia per i Pokémon, e rendono il\n\nmondo molto più bello da vivere!\nTieni, lascia che ne condivida un\lpo' con te!
0x1f0a03c: Se vuoi altre Bacche, torna a\ntrovarmi domani!
0x1f0a079: Raccoglimiele
0x1f0a0e6: Mi scusi, Allenatore, potrebbe\ndarmi una mano, per favore? Vede,\lio e la mia famiglia presto faremo\n\nun grande banchetto, e abbiamo\nbisogno di molto Miele per il\lnostro banchetto. Ho già raccolto\n\nsette barattoli, ma me ne servono\nalmeno altri tre. Ho sentito che si\lpossono trovare nei Combee\n\nselvatici, ma non ho molta fortuna\na trovarli. Allora, che ne dice? È\lin grado di trovare <0xFC><0x01><0x06>3<0xFC><0x01><0x04> Combee e\n\ndarmi il loro <0xFC><0x01><0x06>Miele<0xFC><0x01><0x04>?
0x1f0a273: Fantastico! Grazie per aver\naccettato di aiutare! Combee si\ltrova in tutto il Paradiso Fiorito.\n\nTuttavia, avresti più fortuna a\ntrovarli nei fiori <0xFC><0x01><0x08>blu<0xFC><0x01><0x04>. Potresti\lanche provare a catturare un\n\n<0xFC><0x01><0x06>Cutiefly<0xFC><0x01><0x04> con <0xFC><0x01><0x06>Mielcovata<0xFC><0x01><0x04>. C'è una\npossibilità che trovi del Miele\ldopo ogni lotta, e verrai avvisato\n\nse ciò accade.
0x1f0a3b5: Li hai presi! Grazie mille! Lascia\nche te li tolga di mano.
0x1f0a3f7: Per avermi aiutato, prendi questa\nMT come ricompensa. Insisto!
0x1f0a436: I Combee si possono trovare un po'\ndappertutto nel Paradiso dei Fiori,\lma è più probabile che appaiano nei\n\n<0xFC><0x01><0x08>fiori blu<0xFC><0x01><0x04>. Se catturi un <0xFC><0x01><0x06>Cutiefly<0xFC><0x01><0x04>\ncon <0xFC><0x01><0x06>Honey Gather<0xFC><0x01><0x04>, potrebbe aiutare\lanche quello. E ricorda, mi servono\n\nalmeno <0xFC><0x01><0x06>3 vasetti di Miele<0xFC><0x01><0x04>.
0x1f0a526: Peccato. Allora dovrò continuare a\ncercare da solo.
0x1f0a55e: Grazie ancora per avermi aiutato\nprima! La mia famiglia e io abbiamo\lfatto un grande banchetto di due\n\ngiorni grazie al tuo aiuto. Ora è\nil momento di preparare il\lbanchetto dell'anno prossimo!
0x1f0a5f5: <0xFC><0x01><0x06>Kyuu uuhn.
0x1f0a603: <0xFC><0x01><0x02>Il/la <0xFD><0x02> è fuggito/a nel\ncampo di fiori.
0x1f0a62d: Solo gli Allenatori che hanno\ndimostrato di essere degni in\lbattaglia possono passare di qui. \.\n\nNon sei degno.
0x1f0a694: Solo gli Allenatori che hanno\ndimostrato di meritarselo in\lbattaglia possono passare di qui. \.\n\nTu sei degno.
0x1f0a6f7: Puoi passare.
0x1f0a789: Vedi quelle rocce sul muro? Se hai\nun Pokémon che può usare\l<0xFC><0x01><0x06>Scalaroccia<0xFC><0x01><0x08>, puoi salirci su alla\n\ngrande!
0x1f0a81d: ATTACCARE DA DIETRO È LA CHIAVE.
0x1f0a83e: <0xFC><0x01><0x02>Aggron ti ha scagliato via con il\nsuo potente Ruggito!
0x1f0a86e: <0xFC><0x01><0x02>Aggron è scomparso misteriosamente.
0x1f0a892: Ti sto avvertendo ora, non ci\nchiamano i <0xB1>Devil Duo<0xB2> per niente.\lQuesta battaglia non andrà come\n\nsperi. Sei stato avvertito\.
0x1f0a912: Sembra che il mio avvertimento non\nfosse necessario\.
0x1f0a939: Per la tua meravigliosa prova di\nabilità in battaglia, ti conferisco\lquesto speciale Cristallo Z.
0x1f0a991: Quella Mimikium Z può essere usata\nper attivare la mossa Z distintiva\ldi <0xFC><0x01><0x06>Mimikyu<0xFC><0x01><0x08> migliorando la sua\n\n<0xFC><0x01><0x06>Carineria<0xFC><0x01><0x08>.
0x1f0a9fd: Molti ci chiamano il <0xB1>Duo\nDiabolico.<0xB2> È un soprannome che ci\lè stato conferito dopo aver\n\nsconfitto ogni avversario\nincontrato lungo il cammino. Per\lquesto, sfidiamo solo gli\n\nAllenatori più forti. Tu non sei\nancora a quel livello.
0x1f0aabd: Molti ci chiamano il <0xB1>Duo del\nDiavolo.<0xB2> È un soprannome che ci è\lstato dato dopo aver sconfitto ogni\n\navversario che ci capitava davanti.\nSe vuoi batterci, devi essere in\lgrado di combattere <0xFC><0x01><0x06>due contro due<0xFC><0x01><0x08>\n\nusando solo tipi <0xFC><0x01><0x06>Lotta<0xFC><0x01><0x08> e <0xFC><0x01><0x06>Drago<0xFC><0x01><0x08>.
0x1f0aba6: Fu fu fu\. Venire qui non è\nun'impresa da poco. Devi sapere,\lperò, che non ci chiamano i <0xB1>Devil\n\nDuo<0xB2> per niente! Preparati a un\nviaggio nell'abisso!
0x1f0ac39: In effetti, eri pronto\.
0x1f0ac54: Per la tua eccellente prestazione\nin lotta, ti dono questo speciale\lCristallo Z.
0x1f0aca3: Se doni <0xFC><0x01><0x06>Mimikium Z<0xFC><0x01><0x04> a <0xFC><0x01><0x06>Mimikyu<0xFC><0x01><0x04>, puoi\ntrasformare <0xFC><0x01><0x06>Carineria<0xFC><0x01><0x04> nella sua\lMossa Z esclusiva.
0x1f0ad1c: Fu fu fu\. Venire qui non è\nun'impresa da poco. Devi però\lsapere che non ci chiamano il\n\n<0xB1>Devil Duo<0xB2> per niente! Tu,\npurtroppo, non sei ancora in grado\ldi affrontarci.
0x1f0adcc: Fu fu fu\. Arrivare fin qui non è\nstata certo un'impresa da poco.\lDevi però sapere che non ci\n\nchiamano il <0xB1>Duo Diabolico<0xB2> per\nniente! Se vuoi sfidarci, devi\lessere in grado di combattere <0xFC><0x01><0x06>due\n\ncontro due<0xFC><0x01><0x04> con solo Pokémon di tipo\n<0xFC><0x01><0x06>Lotta<0xFC><0x01><0x04> e <0xFC><0x01><0x06>Drago<0xFC><0x01><0x04> al tuo fianco.
0x1f0af31: Un po' di tempo fa, alcuni teppisti\ncon una grossa faccia di Granbull\lsulla schiena hanno cercato di\n\ncatturare il raro uccello blu che\nun tempo viveva sul Monte\lGhiacciato. Ma lui ha trasformato\n\nin ghiaccioli un bel po' di loro ed\nè volato via da qualche parte.\lChissà se tornerà\.
0x1f0b03d: Il terreno ricoperto di brina in\nquesta grotta è la mia ispirazione.
0x1f0b0e2: Mio fratello ama sfidare gli\nAllenatori a saltare.
0x1f0b194: Non ti impedirò di salire, ma non\ndimenticare di curarti prima!
0x1f0b209: Questa grotta è piuttosto piccola,\nno? Non so perché quel tizio laggiù\linsista nel dire ai Allenatori che\n\nè alta 20 piani\.
